iter	Logloss
0	0.6865813206
1	0.6799095236
2	0.673432877533	0.6669449094	4	0.6613497185	5	0.6557403856	6	0.6498477177	0.6427334216
8	0.6370620276
9	0.6323959983
10	0.6270406147
11	0.6215521908
12	0.6170056586
13	0.6113861806
14	0.6068464652
15	0.6028583233
16	0.5991567126
17	0.5950186013
1818	0.5916782621119	0.5877645462220	0.5835363692121	0.5799595632222	0.5764433702323	0.5727138242424	0.5697782174
25	0.5663638892626	0.563771224
27	0.5607788851
28	0.5573656562
29	0.5549186927
30	0.5521308943
31	0.5494623563
32	0.5463495442
33	0.543779798
34	0.5414903126
35	0.5388975246
36	0.5358711724
37	0.533669473
38	0.5311523391
39	0.5291900751
40	0.5275322966
41	0.5252894974
42	0.5230896242
43	0.5216650626
44	0.5198384243
45	0.5178909683
46	0.5162959557
47	0.5143605492
48	0.5133992082
49	0.5118154241
50	0.5102556633
51	0.5086327641
52	0.5068438264
53	0.5055919502
54	0.50412642
55	0.502717838
56	0.501410988
57	0.5002575817
58	0.499324237
59	0.4982000034
60	0.4968576059
61	0.4955045426
62	0.494327579
63	0.493057664
64	0.4916666416
65	0.4902068018
66	0.4889562364
67	0.4876707432
68	0.4861964748
69	0.4851691244
70	0.4841802735
71	0.4830945592
72	0.4821567869
73	0.481008658
74	0.4798312763
75	0.4792332757
76	0.4784548823
77	0.4773925679
78	0.4764921815
79	0.4757700833
80	0.4748933262
81	0.4740537542
82	0.4732458774
83	0.4725256793
84	0.471785613
85	0.4709714905
86	0.4702594603
87	0.4693059671
88	0.4685174906
89	0.4680234214
90	0.4672427183
91	0.4663799316
92	0.4657165749
93	0.4651882821
94	0.4645579897
95	0.463964996
96	0.4632670352
97	0.4624822288
98	0.4616693015
99	0.4611549746
100	0.4604941754
101	0.4599655049
102	0.4593860041
103	0.4589250662
104	0.4581736838
105	0.4575451946
106	0.4568113267
107	0.4562490318
108	0.4557660646
109	0.4552217204
110	0.4546453886
111	0.4539431994
112	0.4533573444
113	0.4529772192
114	0.4523154426
115	0.4517841308
116	0.4512396233
117	0.4507669292
118	0.4501795721
119	0.4496758055
120	0.4492133073
121	0.4487473129
122	0.4482834446
123	0.4478236265
124	0.4472902039
125	0.446693176
126	0.4461893455
127	0.4457781161
128	0.4453289221
129	0.4449913915
130	0.4446198841
131	0.4439975239
132	0.4436471131
133	0.4431936305
134	0.4428120468
135	0.4424986572
136	0.4421944282
137	0.441804118
138	0.4413421924
139	0.4408901475
140	0.440545402
141	0.4401395636
142	0.4396940251
143	0.439251687
144	0.4388739552
145	0.4383746908
146	0.4380078142
147	0.4375753225
148	0.4372486433
149	0.4368923498
150	0.4363515282
151	0.4359556218
152	0.4356108103
153	0.4353453878
154	0.4349815676
155	0.4345052114
156	0.4339855667
157	0.4336937328
158	0.4332933871
159	0.4328157042
160	0.4323148301
161	0.4318776465
162	0.4316468774
163	0.4312335075
164	0.4307706144
165	0.4305005062
166	0.430039634
167	0.4297502705
168	0.429370559
169	0.4290728612
170	0.4287174809
171	0.4283078358
172	0.427923354
173	0.4275269573
174	0.4271239901
175	0.4266620929
176	0.4263068628
177	0.4260214815
178	0.4257756915
179	0.4254492202
180	0.4251825022
181	0.4247610333
182	0.4243925405
183	0.4240273551
184	0.4236407841
185	0.423405359
186	0.4231985314
187	0.4227716912
188	0.4225866138
189	0.4223493824
190	0.421972802
191	0.4216603493
192	0.4212552988
193	0.4208712796
194	0.4206586058
195	0.4204209115
196	0.420130932
197	0.4199056297
198	0.419765728
199	0.4194271128
200	0.4192490431
201	0.4189604788
202	0.4186611986
203	0.4182473332
204	0.4179163543
205	0.4177156074
206	0.417348548
207	0.4170804428
208	0.4167012732
209	0.416444982
210	0.4161892708
211	0.4160063157
212	0.4158015409
213	0.4153952495
214	0.4152716274
215	0.4149852776
216	0.4147802103
217	0.4145893747
218	0.4143758278
219	0.4141123533
220	0.4139124558
221	0.4136438147
222	0.4133188384
223	0.4130249463
224	0.4128304749
225	0.4125360138
226	0.4122634
227	0.411974829
228	0.4116491461
229	0.229	0.40751230	0.230	0.40735231	0.231	0.40708232	0232	0.406858233	0.410418473
234	0.234	0.40625235	0.235	0.40600236	0.4097812019
237	0.4096447564
238	0.4094656686
239	0.4091641905
240	0.4088769662
241	0.4087124997
242	0.4085079402
243	0.4081597059
244	0.4079894808
245	0.4077396021
246	0.4074734402
247	0.407177325
248	0.4068664599
249	0.4064859738
250	0.4063005038
251	0.406094049
252	0.405888926
253	0.4056498353
254	0.4053663541
255	0.4050331225
256	0.4047261641
257	0.404571654
258	0.4044353965
259	0.404085075
260	0.403844116
261	0.4035846051
262	0.4033358569
263	0.4031243494
264	0.4028965412
265	0.4027242833
266	0.4025214996
267	0.4022889092
268	0.4020756429
269	0.4018396349
270	0.4016700039
271	0.4014320699
272	0.4011395695
273	0.4009196228
274	0.4006675135
275	0.4004553156
276	0.4002351181
277	0.3999771998
278	0.3997043388
279	0.3994534904
280	0.3992521578
281	0.3989932814
282	0.3987959113
283	0.3985239044
284	0.3981970799
285	0.3980487935
286	0.3977916212
287	0.3975791631
288	0.3972181982
289	0.3968644913
290	0.396514476
291	0.3963341712
292	0.3960424405
293	0.3958512482
294	0.3956258501
295	0.3954025655
296	0.3296	0.3910297	0.3297	0.3909298	0.3298	0.3907299	0.3299	0.3904300	0.3300	0.3902301	0.3301	0.3900302	0.3302	0.3898303	0.3303	0.3896304	0.3304	0.389305	0.39305	0.3892812334
306	0.3889813395
307	0.3887954351
308	0.3885847464
309	0.3884098572
310	0.388311	0.39311	0.388312	0.39312	0.387313	0.39313	0.3876668716
314	0.387315	0.39315	0.387316	0.39316	0.386317	0.39317	0.386318	0.39318	0.386319	0.39319	0.386320	0.39320	0.386321	0.38321	0.385322	0.38322	0.385323	0.38323	0.385324	0.38324	0.385325	0.38325	0.384326	0.38326	0.384327	0.38327	0.384328	0.38328	0.384329	0.38329	0.383330	0.38330	0.38331	0.387331	0.38332	0.387332	0.38333	0.387333	0.38334	0.387334	0.38335	0.38335	0.382336	0.38336	0.3827542638
337	0.3826083573
338	0.3823821389
339	0.38215574
340	0.38196341	0.341	0.38172342	0.342	0.3815343	0.3343	0.3812344	0.3344	0.3810345	346	0.3885180346	347	0.3883178347	348	0.3880456348	349	0.3878792349	350	0.3877800350	351	0.3875302351	352	0.3872433352	353	0.3869762913
354	0.3867707964
355	0.3865599758
356	0.3862883111
357	0.3860352042
358	0.3858741348
359	0.3856563168
360	0.3854211577
361	0.3852332399
362	0.3850699115
363	0.3848706635
364	0.3846431085
365	0.3844343796
366	0.3841425878
367	0.3839671603
368	0.3838008716
369	0.3836557847
370	0.3834387484
371	0.3832650959
372	0.3830673527
373	0.3827625356
374	0.3825616105
375	0.3823686408
376	0.3821172992
377	0.3819463378
378	0.381742943
379	0.3816275307
380	0.3813208735
381	0.3810525037
382	0.3808617045
383	0.38057293
384	0.3803187047
385	0.3801842641
386	0.3800064172
387	0.3798116232
388	0.3795925715
389	0.3793727945
390	0.3791479257
391	0.3789778761
392	0.3788152341
393	0.3786163134
394	0.3783744198
395	0.3781864692
396	0.3779820544
397	0.3777001893
398	0.3775279971
399	0.3773995416
400	0.3772069777
401	0.3769692344
402	0.376798537
403	0.3766482404
404	0.3763446225
405	0.3762140189
406	0.3760658773
407	0.3757344328
408	0.3755836742
409	0.375360341
410	0.3751574642
411	0.3749863603
412	0.374800231
413	0.3746151816
414	0.3744655844
415	0.3742555379
416	0.3739903264
417	0.3737685682
418	0.3735426733
419	0.3733380826
420	0.3730228747
421	0.3728227172
422	0.3725889976
423	0.3724542841
424	0.3722455205
425	0.37201785
426	0.371795784
427	0.3715916907
428	0.3714192578
429	0.3712456287
430	0.3710345417
431	0.3708482597
432	0.3706742533
433	0.3705351964
434	0.3702704958
435	0.370435	0.3436	0.3699436	0.3437	0.3697437	0.3438	0.3694892444
439	0.3692941682
440	0.3690773453
441	0.3689113689
442	0.3686834212
443	0.3684712213
444	0.368222168
445	0.367982905
446	0.36774446	0.447	0.367559582
448	0.367407161
449	0.3671225402
450	0.3669302450	451	0.3667194451	452	0.366454045453	0.366256606453	0.3624035282
454	0.362240993
455	0.3620963871
456	0.3617879008
457	0.361601142
458	0.3614215636
459	0.3613507349
460	0.3610854131
461	0.3608893445
462	0.3607150981
463	0.3604674407
464	0.3602977082
465	0.3601037225
466	0.359733589
467	0.3595512882
468	0.3593858833
469	0.3591728725
470	0.3590003722
471	0.3588782831
472	0.358722895
473	0.3585988284
474	0.3583282386
475	0.3582104351
476	0.357998398
477	0.3578471583
478	0.3575403056
479	0.357350976
480	0.481	0.36037481	0.482	0.36007482	0483	0.359920483	0484	0.359590484	0485	0.359490485	0486	0.359329486	0.3562496143
487	0.3560944077
488	0.3558217057
489	0.3555543666
490	0.3553387754
491	0.3551846825
492	0.3549181533
493	0.3548125931
494	0.3545683967
495	496	0.3575993496497	0.35741779497498	0.35710638498499	0.35680175499	0.3535264762
500501	0.35640487501502	0.35613676502503	0.35594664503504	0.3557073504	0.3524899623
505	0.3523104765
506	0.3520836917
507	0.3519346601
508	0.3517558591
509	0.351571567
510	0.3514055152
511	0.3512693796
512	0.3510725342
513	0.3507758473
514	0.3505550527
515	0.3503073818
516	0.3500344079
517	0.3497192435
518	0.3495352726
519	0.3492509939
520	0.3490119885
521	0.3488100876
522	0.3486219052
523	0.348447031
524	0.3482333689
525	0.3480195979
526	0.3478327002
527	0.3477117121
528	0.3475347962
529	0.3472997492
530	0.3471564096
531	0.346961994
532	0.346830693
533	0.346616457
534	0.3464463839
535	0.3462601789
536	0.3459719901
537	0.3458805855
538	0.3455746786
539	0.3453163067
540	0.3451523021
541	0.3449782065
542	0.3447615055
543	0.344534901
544	0.3443763249
545	0.3441500037
546	0.3439578531
547	0.3436668588
548	0.3435430976
549	0.3433463245
550	0.3431665286
551	0.3429955532
552	0.3427283711
553	0.3425370513
554	0.3422854884
555	0.3420191506
556	0.3418627557
557	0.3416464448
558	0.3414300577
559	0.3412366195
560	0.3410723323
561	0.3408240692
562	0.3406557635
563	0.3404354261
564	0.34018048566565	0.33997157567566	0.339819568	0567	0.339658569	0568	0.3394258118
569	0.3392803346
570	0.3390385069
571	0.3388858539
572	0.3386255686
573	0.338420558
574	0.3381794968
575	0.3380363211
576	0.3378842925
577	0.3376873749
578	0.33739101
579	0.3372259443
580	0.3369422132
581	0.3367739262
582	0.3365771167
583	0.3363854778
584	0.3362638868
585	0.3360405745
586	0.3358772269
587	0.3356507577
588	0.3354851562
589	0.3353006815
590	0.3350972405
591	0.3348682422
592	0.3346678643
593	0.3344264295
594	0.3342213766
595	0.3339276376
596	0.3336689697
597	0.3334889727
598	0.3332652683
599	0.333018749
600	0.33277046602601	0.33261197603602	0.33242260604603	0.3322589843
604	0.3320274595
605	0.3319103607	606	0.3317496608	607	0.331538609	0608	0.331404610	0609	0.33122611	0610	0.3311151377
611	0.3310236681
612	0.3307838213
613	0.3305731053
614	0.3302746512
615	0.3301385307
616	0.3299544209
617	0.3297456924
618	0.329587031
619	0.3293070318
620	0.3291578479
621	0.3288382365
622	0.3286526136
623	0.3284644177
624	0.3283242111
625	0.3280218795
626	0.3277721999
627	0.3275744977
628	0.327333845
629	0.3271124697
630	0.3269937001
631	0.3267371818
632	0.3264734743
633	0.3262875026
634	0.3261180318
635	0.3259002692
636	0.3256283408
637	0.3254076456
638	0.3251771569
639	0.325030092
640	0.3249155828
641	0.3247609748
642	0.32461467
643	0.3243773314
644	0.3242111418
645	0.3239757066
646	0.323723691
647	0.3234266093
648	0.3231640613
649	0.3229078429
650	0.3226757423
651	0.3223517649
652	0.3221513471
653	0.3219261184
654	0.321681954
655	0.3215394932
656	0.3213870599
657	0.3211848035
658	0.3210980595
659	0.3209651207
660	0.3207518331
661	0.320585996
662	0.3203411239
663	0.3201854746
664	0.3199703814
665	0.3197448364
666	0.3195834021
667	0.319431822
668	0.3192331006
669	0.3190798329
670	0.3189124635
671	0.3187581239
672	0.3186114497
673	0.3184360369
674	0.318156406
675	0.3179547394
676	0.3178249473
677	0.3176060124
678	0.3174733388
679	0.3172853655
680	0.3171080217
681	0.3168975099
682	0.316721367
683	0.3165115037
684	0.3162750902
685	0.3159912311
686	0.3156599006
687	0.3153051113
688	0.3150569784
689	0.3147804149
690	0.3145856833
691	0.3143622464
692	0.3140707228
693	0.3139197424
694	0.3136228242
695	0.3134494936
696	0.3132864112
697	0.3131109451
698	0.3129572042
699	0.3128314049
700	0.3126538285
701	0.3124606294
702	0.3121983648
703	0.3120109067
704	0.3117789328
705	0.3115082196
706	0.3113211247
707	0.3109624864
708	0.3107564822
709	0.3105898374
710	0.3104663681
711	0.3102997851
712	0.3101388932
713	0.3099358245
714	0.3097629341
715	0.3095876944
716	0.3092364508
717	0.3090911165
718	0.3089593708
719	0.3087349324
720	0.3084902755
721	0.3082281901
722	0.3080635029
723	0.3078159915
724	0.3075925776
725	0.3073582312
726	0.3071801852
727	0.3070216886
728	0.3067629168
729	0.3066312039
730	0.3064215963
731	0.3062176305
732	0.3059519009
733	0.3056669728
734	0.3054577676
735	0.3053183701
736	0.3051499611
737	0.3049356227
738	0.3047984336
739	0.3045853532
740	0.3044104069
741	0.3040842205
742	0.3038759245
743	0.3037157071
744	0.3035274489
745	0.3031502348
746	0.3029693364
747	0.3027938322
748	0.3026193612
749	0.3024995468
750	0.3023226574
751	0.3021921049
752	0.3018843603
753	0.3017495695
754	0.301566467
755	0.3013975029
756	0.3012194552
757	0.3011038452
758	0.3008834655
759	0.3006113299
760	0.3003701766
761	0.3002036735
762	0.3000467887
763	0.299830216
764	0.2997013893
765	0.2995459371
766	0.2993974781
767	0.299241391
768	0.299128091
769	0.2988362467
770	0.2986291816
771	0.2985277512
772	0.2983655479
773	0.2982675129
774	0.2981379787
775	0.2979007768
776	0.2977148676
777	0.2975534979
778	0.297335381
779	0.2971707981
780	0.2970424535
781	0.2968843344
782	0.2966656471
783	0.2964350542
784	0.2961407796
785	0.2959259223
786	0.2957859736
787	0.2955496874
788	0.295359446
789	0.2951816554
790	0.2949740898
791	0.2947839881
792	0.2946237274
793	0.2945012084
794	0.2943722181
795	0.2941272105
796	0.2939044878
797	799	0.2970674798	800	0.2968449799801	0.29669877800802	0.2965613680803	0.296414442
804	0.2962212006
805	0.2960337271
806	0.2958817273
807	0.2956846257
808	0.2955307937
809	0.29531771618810	0.2951464557
811	0.2949802646
812	0.29486174338813	0.2945249712
814	0.2943864057
815	0.2942549983
816	0.2940927432
817	0.29395023081818	0.2938031654
819	0.2936971315
820	0.2934724753
821	0.2932686444
822	0.2931447251
823	0.2929643011
824	0.2927162158
825	0.2924837692
826	0.2922273476
827	0.292038182
828	0.2918371412
829	0.2916764462
830	0.2914448192
831	0.29128976683832	0.29112853383833	0.29095989832834	0.2908007641
835	0.2906780568
836	0.2904484364
837	0.2902927891
838	0.29008730837839	0.28985881838840	0.28963452839841	0.28947868840842	0.28935264841843	0.2891501842844	0.28900568843845	0.28871529844846	0.28849434845847	0.28837534846848	0.2882143847	849	0.2880402848850	0.2878544484851	0.28772969985852	0.28756252985853	0.28736021985854	0.28723103585855	0.28708268685856	0.28690427885857	0.28666998985858	0.286429661857	0.2824282828
85860	0.28608090785861	0.28591237786862	0.28575052286863	0.28557343586864	0.28541416886865	0.28523513986866	0.28499245586867	0.28474300886868	0.28458919686869	0.28440997086870	0.2841920623
871	0.2840515698
872	0.28389066787873	0.2837996002
874	0.2836488621
875	0.2833546537
876	0.2832524802
877	0.2830456038
878	0.2828465341
879	0.2826020811
880	0.2824359234
881	0.2823028895
882	0.2820679585
883	0.2818467658
884	0.2815414305
885	0.2814096151
886	0.2812482021
887	0.2810906255
888	0.2809811364
889	0.2808618155
890	0.2806377312
891	0.2805109801
892	0.2802686295
893	0.2800950023
894	0.2799602411
895	0.279797209
896	0.279566732
897	0.2793019798
898	0.2790558469
899	0.2788271558
900	0.2786106143
901	0.27843189790902	0.2782436507
903	0.2779973759
904	0.27786246390905	0.27769982490906	0.2775469614
907	0.2774072715
908	0.2771430159
909	0.27700604
910	0.2768437678
911	0.2766923939
912	0.2765148505
913	0.2763258746
914	0.2760942983
915	0.2758874206
916	0.2757037084
917	0.2755139807
918	0.2753737313
919	0.2752609429
920	0.2751413756
921	0.2750205929
922	0.274814775
923	0.2746495433
924	0.2745054727
925	0.2743757957
926	0.2742059964
927	0.2740561496
928	0.273855624
929	0.2737128197
930	0.2736207145
931	0.273455165
932	0.2732933386
933	0.2731306503
934	0.2728991659
935	0.2727365771
936	0.2725933146
937	0.2724270721
938	0.2722753533
939	0.2720888077
940	0.271895219
941	0.2717521086
942	0.2715439889
943	0.2714314613
944	0.271251824
945	0.2709784917
946	0.270783563
947	0.2706673282
948	0.2705574363
949	0.2703896803
950	0.2702283844
951	0.270101662
952	0.2699808365
953	0.2698470088
954	0.2696617026
955	0.2695141901
956	0.2693344582
957	0.2691423532
958	0.2689383207
959	0.2687992567
960	0.2686460071
961	0.2685265489
962	0.2683932156
963	0.268250744
964	0.2679404888
965	0.2678469068
966	0.2677006595
967	0.2675848071
968	0.2673757072
969	0.2671865249
970	0.2669911871
971	0.2668498587
972	0.2665975932
973	0.2664438181
974	0.2662648113
975	0.2661110558
976	0.2658966566
977	0.2656975616
978	0.2655702991
979	0.2654431863
980	0.2653599625
981	0.2652076514
982	0.2650789347
983	0.26492641
984	0.2647057673
985	0.2645462364
986	0.2644004637
987	0.2641927653
988	0.2639448291
989	0.263794996
990	0.2636504581
991	0.2635023731
992	0.2632734511
993	0.2631236952
994	0.2629267207
995	0.2628206225
996	0.262618574
997	0.262505373
998	0.2623678019
999	0.2622544542
6127971699999	0.2611576505999	0.2543963145
